Title,Accession,Organism,Summary,Overall_design,PubmedID,Journal
High-Resolution Transcriptome Maps Reveal Strain-Specific Regulatory Features of Multiple Campylobacter jejuni Isolates,GSE38883,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819;Campylobacter jejuni RM1221;Campylobacter jejuni subsp. jejuni 81-176;Campylobacter jejuni subsp. jejuni 81116,Campylobacter jejuni is currently the leading cause of bacterial gastroenteritis in humans. Comparison of multiple Campylobacter strains revealed a high genetic and phenotypic diversity. However， little is known about differences in transcriptome organization， gene expression， and small RNA (sRNA) repertoires. Here we present the first comparative primary transcriptome analysis based on the differential RNAâseq (dRNAâseq) of four C. jejuni isolates. Our approach includes a novel， generic method for the automated annotation of transcriptional start sites (TSS)， which allowed us to provide genome-wide promoter maps in the analyzed strains. These global TSS maps are refined through the integration of a SuperGenome approach that allows for a comparative TSS annotation by mapping RNAâseq data of multiple strains into a common coordinate system derived from a whole-genome alignment. Considering the steadily increasing amount of RNAâseq studies， our automated TSS annotation will not only facilitate transcriptome annotation for a wider range of pro- and eukaryotes but can also be adapted for the analysis among different growth or stress conditions. Our comparative dRNAâseq analysis revealed conservation of most TSS， but also single-nucleotide-polymorphisms (SNP) in promoter regions， which lead to strain-specific transcriptional output. Furthermore， we identified strain-specific sRNA repertoires that could contribute to differential gene regulation among strains. In addition， we identified a novel minimal CRISPR-system in Campylobacter of the type-II CRISPR subtype， which relies on the host factor RNase III and a trans-encoded sRNA for maturation of crRNAs. This minimal system of Campylobacter， which seems active in only some strains， employs a unique maturation pathway， since the crRNAs are transcribed from individual promoters in the upstream repeats and thereby minimize the requirements for the maturation machinery. Overall， our study provides new insights into strain-specific transcriptome organization and sRNAs， and reveals genes that could modulate phenotypic variation among strains despite high conservation at the DNA level.,Our dRNA-seq study of multiple C. jejuni strains represents the first comparative analysis of the primary transcriptomes of multiple strains and provides new insights into riboregulation in this bacterial pathogen.,23696746,PLoS Genet
Dynamic profiling of the protein life cycle in response to pathogens (protein),GSE59792,Mus musculus,Protein expression is regulated by production and degradation of mRNAs and proteins， but their specific relationships remain unknown. We combine measurements of protein production and degradation and mRNA dynamics to build a quantitative genomic model of the differential regulation of gene expression in LPS stimulated mouse dendritic cells. Changes in mRNA abundance play a dominant role in determining most dynamic fold changes in protein levels. Conversely， the preexisting proteome of proteins performing basic cellular functions is remodeled primarily through changes in protein production or degradation， accounting for over half of the absolute change in protein molecules in the cell. Thus， the proteome is regulated by transcriptional induction of novel cellular functions and remodeling of preexisting functions through the protein life cycle.,Mouse primary dendritic cells were treated with LPS or mock stimulus and profiled over a 12-hour time course. Cells were grown in M-labeled SILAC media， which was replaced with H-labeled SILAC media at time 0. Aliquots were taken at 0， 0.5， 1， 2， 3， 4， 5， 6， 9， and 12 hours post-stimulation and added to equal volumes of a master mix of unlabeled (L) cells for the purpose of normalization. RNA-Seq was performed at 0， 1， 2， 4， 6， 9， and 12 hours post-stimulation.,25745177,Science
Pairing competitive and topologically distinct regulatory modules enhances patterned gene expression,GSE9665,Caenorhabditis elegans,Biological networks are inherently modular， yet little is known about how modules are assembled to enable coordinated and complex functions. We used RNAi and time-series， whole-genome microarray analyses to systematically perturb and characterize components of a C. elegans lineage-specific transcriptional regulatory network.  These data are supported by select reporter gene analyses and comprehensive yeast-one-hybrid and promoter sequence analyses.  Based on these results we define and characterize two modules composed of muscle- and epidermal-specifying transcription factors that function together within a single cell lineage to robustly specify multiple cell types. The expression of these two modules， although positively regulated by a common factor， is reliably segregated among daughter cells. Our analyses indicate that these modules repress each other， and we propose that this cross-inhibition coupled with their relative time of induction function to enhance the initial asymmetry in their expression patterns， thus leading to the observed invariant gene expression patterns and cell lineage.  The coupling of asynchronous and topologically distinct modules may be a general principle of module assembly that functions to potentiate genetic switches.Keywords: Gene expression response of RNAi knockdowns,To study the function of the C-lineage gene regulatory network we used RNAi to knockdown expression of the 13 TFs expressed early in the C lineage， and then used whole-genome microarrays to assess each perturbation for changes in mRNA abundance. RNAi has several advantages as a method to perturb gene function: it reduces both maternal and zygotic transcripts， thus avoiding maternal rescue effects; for essential genes it allows collection of fully affected progeny; and it enables comparison between perturbations. Measuring transcript levels on microarrays is also advantageous， because it is highly parallel， allowing direct comparisons between genes within each perturbation， and it is comprehensive， thus enabling discovery of regulated genes.  In addition， it allows direct comparison to previous efforts to characterize the pal-1 regulatory network (Baugh et al， 2005a; Baugh et al， 2005b).  To increase sensitivity and specificity， we used mex-3 mutant mothers whose progeny are primarily composed of C-like lineages (Draper et al， 1996).  In each case， RNA was collected from embryos two and three cell cycles after the initial zygotic expression of the targeted TF mRNA (Figure 1). We note that our sampling of only two time points might underestimate the magnitude of the observed effect of RNAi on mRNA levels， particularly if the expression level of the assayed mRNA peaks before or after the selected time points. The paralogous tbx-8 and tbx-9 genes， which were previously demonstrated to be functionally redundant (Pocock et al， 2004b; Baugh et al， 2005a)， were simultaneously targeted by RNAi in order to assay a more penetrant effect on gene expression.mex-3 (zu155) mutant worms (JJ518) were used in this experiment. RNAi was administered by soaking and RNA was collected from embryos， both as previously described (Baugh 2005; Baugh et al， 2005b). Cohorts of ten embryos were used for each RNA preparation， and half of the RNA was used for linear amplification. The Artus âExpressArt mRNA Amplification Kitâ was used for amplification. The manufacturerâs protocol was modified in round one with a ten-fold increase in concentration of primers A， B， and C and a four-fold decrease in cDNA synthesis reaction volumes. Microarray hybridization onto Affymetrix C. elegans GeneChip， scanning， data reduction and analysis were done as previously described (Baugh et al， 2003). Expression values were normalized using RMA (Bolstad et al， 2003).,18277379,Mol Syst Biol
Bisulphite-sequencing of chromatin immunoprecipitated DNA (BisChiP-seq) directly informs methylation status,GSE30558,Homo sapiens,Bisulphite sequencing enables DNA methylation analysis of every cytosine residue. We have optimized conditions for combining chromatin immunoprecipation (ChIP) with high throughput bisulphite sequencing to study the relationship between histone modifications and DNA methylation.,Paired-end bisulphite sequencing of H3K27me3-ChIP DNA for LNCaP and PrEC cell lines,22466171,Genome Res
Transcriptional landscape of Candida parapsilosis,GSE32714,Candida parapsilosis,We used next generation sequencing (RNA-seq) to determine the transcriptional profile of C. parapsilosis growing in several conditions including different media， temperatures and oxygen concentrations.,We have 37 Samples representing BMW and YPD media， 1% and 21% oxygen， 30 and 37 degree celsius temperature， and CLIB214 and CDupc5 strains.,22192698,BMC Genomics
Histone Deacetylase 3 is an Epigenomic Brake in Macrophage Alternative Activation (ChIP-Seq),GSE33596,Mus musculus,We report the genomic regions enriched in Histone Deacetylase 3 (HDAC3) in mouse bone marrow derived macrophages.  Furthermore， we also report the genomic acetylation pattern on Histone 3， Lysine 9 (H3K9) in macrophages with and without HDAC3 and/or treated with Th2 cytokine IL-4.,HDAC3 enriched genomic regions in mouse bone marrow dervied macrophages and H3K9Ac enriched genomic regions in wild-type macrophages and macrophages treated with IL-4 and/or deficient in HDAC3.,22156208,Genes Dev
Histone Deacetylase 3 is an Epigenomic Brake in Macrophage Alternative Activation (ChIP-Seq),GSE33596,Mus musculus,We report the genomic regions enriched in Histone Deacetylase 3 (HDAC3) in mouse bone marrow derived macrophages.  Furthermore， we also report the genomic acetylation pattern on Histone 3， Lysine 9 (H3K9) in macrophages with and without HDAC3 and/or treated with Th2 cytokine IL-4.,HDAC3 enriched genomic regions in mouse bone marrow dervied macrophages and H3K9Ac enriched genomic regions in wild-type macrophages and macrophages treated with IL-4 and/or deficient in HDAC3.,22156208,Cell
Histone Deacetylase 3 is an Epigenomic Brake in Macrophage Alternative Activation (ChIP-Seq),GSE33596,Mus musculus,We report the genomic regions enriched in Histone Deacetylase 3 (HDAC3) in mouse bone marrow derived macrophages.  Furthermore， we also report the genomic acetylation pattern on Histone 3， Lysine 9 (H3K9) in macrophages with and without HDAC3 and/or treated with Th2 cytokine IL-4.,HDAC3 enriched genomic regions in mouse bone marrow dervied macrophages and H3K9Ac enriched genomic regions in wild-type macrophages and macrophages treated with IL-4 and/or deficient in HDAC3.,24074869,Genes Dev
Histone Deacetylase 3 is an Epigenomic Brake in Macrophage Alternative Activation (ChIP-Seq),GSE33596,Mus musculus,We report the genomic regions enriched in Histone Deacetylase 3 (HDAC3) in mouse bone marrow derived macrophages.  Furthermore， we also report the genomic acetylation pattern on Histone 3， Lysine 9 (H3K9) in macrophages with and without HDAC3 and/or treated with Th2 cytokine IL-4.,HDAC3 enriched genomic regions in mouse bone marrow dervied macrophages and H3K9Ac enriched genomic regions in wild-type macrophages and macrophages treated with IL-4 and/or deficient in HDAC3.,24074869,Cell
KRAB/KAP1-microRNA cascade regulates erythropoiesis through the stage-specific control of mitophagy [Seq],GSE44061,Homo sapiens;Mus musculus,A multilayered transcription regulatory system is unveiled， where protein- and RNA-based repressors are super-imposed in combinatorial fashion to govern the timely triggering of an essential step of erythropoiesis,Analyses of transcriptional profiles and chromatin state in KAP1 WT and KO (or KD)  cells,23493425,Science
Differential RNA-seq (dRNA-seq) for annotation of transcriptional start sites and small RNAs in Helicobacter pylori,GSE67564,Helicobacter pylori 26695,In this study transcriptional start sites (TSS) for H. pylori 26695 were determined,To detect the complement of transcripts expressed from H. pylori， we collected three independent biological replicates (B1 â B3) from 26695 wild type strain grown to mid-exponential (OD 600 ~0.6) phase under microaerophilic conditions at 37Â°C in BHI medium. For all three samples， total RNA was extracted and subjected to differential RNA-seq (dRNA-seq) library preparation for primary transcriptome analysis as described previously (Sharma et al.， 2010). Specifically， prior to cDNA library construction half of each RNA sample was treated with 5â terminator exonuclease (+TEX samples)， which degrades RNAs containing a 5â-monophosphate (5â-P) and， thus， enriches for primary transcripts containing 5â-triphosphates (5â-PPP). The other half of each sample was left untreated (-TEX samples) and thus contains both primary transcripts (5â-PPP) and processed RNAs (5â-P).,26091613,Methods
Foxd3 binding at enhancers controls developmental timing of gene expression by regulation of histone acetylation [ChIP-seq],GSE58407,Mus musculus,Transcription factor/enhancer interactions determine cell specific gene expression.  Here， we followed enhancers during differentiations of embryonic stem (ESCs) to epiblast like cells (EpiLCs).  There were highly dynamic changes in histone lysine 27 acetylation at enhancer sites throughout the genome. These sites were enriched for a Foxd3 binding motif， a forkhead transcription factor essential in early embryonic development. Surprisingly， Foxd3 occupied largely mutually exclusive sites in the ESCs versus EpiLCs. Foxd3 bound to nucleosome occupied regions， simultaneously evicting the histones while inhibiting full gene expression through the recruitment of histone deacetylases. Knockout of Foxd3 resulted in hyperacetylation and transcriptional upregulation of neighboring genes， many of which were further upregulated at later stages of differentiation. These data show that Foxd3 primes enhancer sites during pregastrulation by removing nucleosomes， yet suppresses neighboring histone hyperacetylation. Such a mechanism may be common to many transcription factors that prepare enhancers for later gene activation during development.,ChIP-seq of H3K4me1， H3K27ac， H3K27me3， p300， H3K4me3， RNA Pol2 and Oct4 in four pluripotent states: embryonic stem cells (ESCs) day 1 ESC differentiation， Epi-like stem cells (EpiLCs)， and epiblast stem cells (EpiSCs); ChIP-seq of 3XFlag tagged Foxd3 in ESCs and EpiLCs; ChIP-seq of H3K4me1， H3K27ac， H3K27me3， p300 and H3K4me3 in Foxd3 conditional knockout cells (tamoxifen-inducible) -/+ 36h Tamoxifen treatemnt.ChIP seq of Flag-Foxd3 (third replicate)， ChIP-seq of HDAC1 and Brg1 in WT and Foxd3 KO cells and MNase-ChIP-seq of H3K4me1,26748757,Cell Stem Cell
Multiplex enhancer-reporter assays uncover unsophisticated p53 enhancer logic [CHEQ-seq],GSE76653,Homo sapiens,Analysis of p53 binding sites using multiplex enhancer reporter assays， ChIP-seq data and RNA-seq data.Transcription factors establish and maintain the specific transcriptome of a cell by binding to genomic regulatory regions， thereby regulating the transcription of their target genes. Like many transcription factors， the DNA sequence-specific binding preferences of p53 are known. However， it remains largely unclear what distinguishes functional enhancers from other bound genomic regions that have no regulatory activity. In addition， the genome is scattered with seemingly perfect recognition sequences that remain unoccupied. To disentangle the rules of genome-wide p53 binding， we employed two complementary techniques of multiplex enhancer-reporter assays， one using barcoded reporters and the other using enhancer self-transcription. We compared the activity of more than one thousand candidate p53 enhancers under loss and gain of p53 conditions and identified several hundred high-confidence p53-responsive enhancers. Strikingly， the large majority (99%) of these target enhancers can be characterized and distinguished from negative sequences by the occurrence of a single p53 binding site. By training a machine learning classifier on these data， and integrating the resulting genome-wide predictions with fifteen publicly available human p53 ChIP-seq data sets， we identified a consensus set of 1148 functional p53 binding sites in the human genome. Unexpectedly， this direct p53 cistrome is invariably used between cell types and experimental conditions， while differences between experiments can be largely attributed to indirect non-functional binding. Our data suggest that direct p53 enhancers function in a context-independent manner and do not contain obvious combinatorial complexity of binding sites for multiple transcription factors. They represent a class of unsophisticated cell-autonomous enhancers with a single binding site， distinct from complex developmental enhancers that integrate signals from multiple transcription factors. This suggests that context-dependent regulation of p53 target genes is not encoded in the p53 enhancer， but at different upstream or downstream layers of the cell's gene regulatory network.,CHEQ-seq multiplex enhancer reporter assay to identify and validate p53-responsive enhancers.,27197205,Genome Res
TUT7 Catalyzes the Uridylation of the 3â End for Rapid Degradation of Histone mRNA,GSE85361,Homo sapiens,Using high-throughput sequencing of histone mRNAs and degradation intermediates， we find that knockdown of TUT7 reduces both the uridylation at the 3â end as well as uridylation pattern at the 3â end， and only had a small effect on the uridylation in the stemloop uridylation of the major during histone mRNA degradation. Knockdown of 3â hEXO also altered the uridylation of histone mRNAs， revealing a dynamic equilibrium between 3â hEXO digestion and TUT7 uridylation， suggesting that TUT7 and 3â hExo function together in trimming and uridylating histone mRNAs.,We sequenced 3' ends of histone mRNAs and degradation intermediates before and after inhibition of DNA replication in HeLa cells using the previously described EnD-seq strategy.,27609902,RNA
7q11.23 dosage-dependent dysregulation in the human pluripotent state primes aberrant transcriptional programs in disease-relevant lineages,GSE63058,Homo sapiens,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,25501393,Nat Genet
ChIP-seq analysis of Î²-catenin in mouse embryonic stem cells treated with GSK3 inhibitor CHIR99021 under serum+LIF standard condition.,GSE43565,Mus musculus,The objective of this study was to identify the direct target genes of Î²-catenin acting downstream of canonical Wnt signaling in mouse embryonic stem cells (ESCs).Canonical Wnt signaling supports the pluripotency of mouse ESCs but also promotes differentiation of early mammalian cell lineages. To explain these paradoxical observations， we explored the gene regulatory networks at play. Canonical Wnt signaling is intertwined with the pluripotency network comprising Nanog， Oct4， and Sox2 in mouse ESCs. In defined media supporting the derivation and propagation of mouse ESCs， Tcf3 and Î²-catenin interact with Oct4; Tcf3 binds to Sox motif within Oct-Sox composite motifs that are also bound by Oct4-Sox2 complexes. Further， canonical Wnt signaling up-regulates the activity of the Pou5f1 distal enhancer via the Sox motif in mouse ESCs. When viewed in the context of published studies on Tcf3 and Î²-catenin mutants， our findings suggest that Tcf3 counters pluripotency by competition with Sox2 at these sites， and Tcf3 inhibition is blocked by Î²-catenin entry into this complex. Wnt pathway stimulation also triggers Î²-catenin association at regulatory elements with classic Lef/Tcf motifs associated with differentiation programs. The failure to activate these targets in the presence of a MEK/ERK inhibitor essential for mouse ESC culture suggests that MEK/ERK signaling and canonical Wnt signaling combine to promote mouse ESC differentiation.,bCatenin ChIP-seq using anti-FLAG antibody and Streptavidin were otained from embryonic stem cells treated by CHIR99021 for 24 hours. Input without IP process were used as the control.,23505158,Stem Cells
