Title,Journal,PubDate,PubmedID,Url,Abstract
Transcriptomic signatures of NK cells suggest impaired responsiveness in HIV-1 infection and increased activity post-vaccination.,Nat Commun, 2018 Mar 23,29572470,https://pubmed.ncbi.nlm.nih.gov/29572470/,Natural killer (NK) cells limit viral replication by direct recognition of infected cells， antibody-dependent cellular cytotoxicity (ADCC)， and releasing cytokines. Although growing evidence supports NK cell antiviral immunity in HIV-1 infection， further knowledge of their response is necessary. Here we show that NK cells responding to models of direct cell recognition， ADCC， and cytokine activation have unique transcriptional fingerprints. Compared with healthy volunteers， individuals with chronic HIV-1 infection have higher expression of genes commonly associated with activation， and lower expression of genes associated with direct cell recognition and cytokine stimulation in their NK cells. By contrast， NK cell transcriptional profiles of individuals receiving a modified vaccinia Ankara (MVA) vectored HIV-1 vaccine show upregulation of genes associated with direct cell recognition. These findings demonstrate that targeted transcriptional profiling provides a sensitive assessment of NK cell activity， which helps understand how NK cells respond to viral infections and vaccination.
Systematic characterization of cancer transcriptome at transcript resolution.,Nat Commun, 2022 Nov 10,36357395,https://pubmed.ncbi.nlm.nih.gov/36357395/,Transcribed RNAs undergo various regulation and modification to become functional transcripts. Notably， cancer transcriptome has not been fully characterized at transcript resolution. Herein， we carry out a reference-based transcript assembly across >1000 cancer cell lines. We identify 498，255 transcripts， approximately half of which are unannotated. Unannotated transcripts are closely associated with cancer-related hallmarks and show clinical significance. We build a high-confidence RNA binding protein (RBP)-transcript regulatory network， wherein most RBPs tend to regulate transcripts involved in cell proliferation. We identify numerous transcripts that are highly associated with anti-cancer drug sensitivity. Furthermore， we establish RBP-transcript-drug axes， wherein PTBP1 is experimentally validated to affect the sensitivity to decitabine by regulating KIAA1522-a6 transcript. Finally， we establish a user-friendly data portal to serve as a valuable resource for understanding cancer transcriptome diversity and its potential clinical utility at transcript level. Our study substantially extends cancer RNA repository and will facilitate anti-cancer drug discovery.
Characterization of drug-induced splicing complexity in prostate cancer cell line using long read technology.,Pac Symp Biocomput, 2018,29218865,https://pubmed.ncbi.nlm.nih.gov/29218865/,We characterize the transcriptional splicing landscape of a prostate cancer cell line treated with a previously identified synergistic drug combination. We use a combination of third generation long-read RNA sequencing technology and short-read RNAseq to create a high-fidelity map of expressed isoforms and fusions to quantify splicing events triggered by treatment. We find strong evidence for drug-induced， coherent splicing changes which disrupt the function of oncogenic proteins， and detect novel transcripts arising from previously unreported fusion events.
Recalibrating differential gene expression by genetic dosage variance prioritizes functionally relevant genes.,Genome Res, 2025 Oct 1,40962677,https://pubmed.ncbi.nlm.nih.gov/40962677/,Differential expression (DE) analysis is a widely used method for identifying genes that are functionally relevant for an observed phenotype or biological response. However， typical DE analysis includes selection of genes based on a threshold of fold change in expression under the implicit assumption that all genes are equally sensitive to dosage changes of their transcripts. This tends to favor highly variable genes over more constrained genes where even small changes in expression may be biologically relevant. To address this limitation， we have developed a method to recalibrate each gene's DE fold change based on genetic expression variance observed in the human population. The newly established metric ranks statistically differentially expressed genes， not by nominal change of expression， but by relative change in comparison to natural dosage variation for each gene. We apply our method to RNA sequencing data sets from in vitro stimulus response and neuropsychiatric disease experiments. Compared to the standard approach， our method adjusts the bias in discovery toward highly variable genes and enriches for pathways and biological processes related to metabolic and regulatory activity， indicating a prioritization of functionally relevant driver genes. Tissue-specific recalibration increases detection of known disease-relevant processes. Altogether， our method provides a novel view on DE and contributes toward bridging the existing gap between statistical and biological significance. We believe that this approach will simplify the identification of disease-causing molecular processes and enhance the discovery of therapeutic targets.
Transcriptome insights into newcastle disease virus-mediated eradication of cholangiocarcinoma cells.,PLoS One, 2025 May 6,40327606,https://pubmed.ncbi.nlm.nih.gov/40327606/,Newcastle Disease Virus (NDV) has emerged as a promising oncolytic viral therapy for various human cancers; however， its effectiveness against cholangiocarcinoma (CCA) remains unexplored. This study presents the capability of the lentogenic LaSota strain of NDV to eliminate two CCA cell lines， KKU-055 and KKU-100， as well as the potential molecular mechanisms underlying this effect. Comprehensive transcriptome analysis revealed alterations in gene expression within several pathways in CCA cells following exposure to the LaSota strain NDV， including those involved in TNF-alpha signaling via NF-kB， interferon alpha response， apoptosis， and IL-6/JAK/STAT3 signaling pathways. We remarkably observed a contrasting alteration in the expression of CXCR4， GRAMD1B， IGFBP4， and TGM2 genes in KKU-055 and KKU-100 cells. In addition， gene network analysis highlighted CCNA2， CDK1， DDX58， DHX58， EXO1， GBP1， IFIH1， IFIT1， IFIT2， IFIT3， IRF7， ISIG15， MX1， OAS1， OAS2， PARP9， TOP2A and XAF1 as potential hub genes influencing the response of CCA cells to NDV LaSota strain. Our findings offer evidence supporting the promise of NDV-based therapies as potential strategies for eliminating CCA cells.
Integrated genomic and transcriptional analysis of the in vitro evolution of telomerase-immortalized urothelial cells (TERT-NHUC).,Genes Chromosomes Cancer, 2009 Aug,19405089,https://pubmed.ncbi.nlm.nih.gov/19405089/,Much progress has been made in identifying the molecular genetic alterations that occur in bladder cancer. However， in many cases the genes targeted by these alterations are not known. Telomerase immortalized human urothelial cells (TERT-NHUC) are a useful resource for in vitro studies of genes involved in urothelial transformation. When cultured under standard conditions they remain genetically stable but when cultured under low-density conditions they exhibit genetic instability and acquire chromosomal alterations. TERT-NHUC from three donors were cultured at low plating density and examined at four time-points during a culture period of 600 days. Analyses included population doubling kinetics， array-based CGH (aCGH)， chromosome counts， fluorescence in situ hybridization (FISH)， mutation analysis， Affymetrix gene expression analysis， Western blotting for p16， anchorage-independent growth and tumorigenicity assays. Alterations acquired during continued culture of TERT-NHUC at low density (TERT-NHUC-L) included some observed in urothelial carcinoma (UC) cell lines and primary UC. Examination of gene expression in TERT-NHUC with distinct acquired genetic aberrations may pinpoint genes targeted by these alterations. Data from an aCGH study of UC cell lines and primary tumors were examined for changes in chromosomal regions that also showed alterations in TERT-NHUC-L. Loss of a region on 2q including BOK was identified in UC cell lines and primary tumors. DNER and FRAS1 were identified as potential candidate genes， whose expression is altered independently of the acquisition of any genetic event.
Molecular markers distinguish bone marrow mesenchymal stem cells from fibroblasts.,Biochem Biophys Res Commun, 2005 Jun 24,15896330,https://pubmed.ncbi.nlm.nih.gov/15896330/,To characterize mesenchymal stem cells (MSC)， we compared gene expression profiles in human bone marrow MSC (11 lines) and human fibroblasts (4 lines) by RT-PCR and real time PCR. Messenger RNA levels of MHC-DR-alpha， MHC-DR-beta， MHC-DR-associated protein CD74， tissue factor pathway inhibitor-2， and neuroserpin were much higher in MSC than in fibroblasts， even in the presence of large interindividual variations. Those of adrenomedullin， apolipoprotein D， C-type lectin superfamily member-2， collagen type XV alpha1， CUG triplet repeat RNA-binding protein， matrix metalloproteinase-1， protein tyrosine kinase-7， and Sam68-like phosphotyrosine protein/T-STAR were lower in MSC than in fibroblasts. FACS analysis showed that cell surface expression of MHC-DR was also higher in MSC than in fibroblasts. MHC-DR expression decreased after osteogenic differentiation， whereas the expression of adrenomedullin-a potent stimulator of osteoblast activity-along with collagen XV alpha1 and apolipoprotein D increased after osteogenic differentiation. The marker genes identified in this study should be useful for characterization of MSC both in basic and clinical studies.
Drug-induced regulation of target expression.,PLoS Comput Biol, 2010 Sep 9,20838579,https://pubmed.ncbi.nlm.nih.gov/20838579/,Drug perturbations of human cells lead to complex responses upon target binding. One of the known mechanisms is a (positive or negative) feedback loop that adjusts the expression level of the respective target protein. To quantify this mechanism systems-wide in an unbiased way， drug-induced differential expression of drug target mRNA was examined in three cell lines using the Connectivity Map. To overcome various biases in this valuable resource， we have developed a computational normalization and scoring procedure that is applicable to gene expression recording upon heterogeneous drug treatments. In 1290 drug-target relations， corresponding to 466 drugs acting on 167 drug targets studied， 8% of the targets are subject to regulation at the mRNA level. We confirmed systematically that in particular G-protein coupled receptors， when serving as known targets， are regulated upon drug treatment. We further newly identified drug-induced differential regulation of Lanosterol 14-alpha demethylase， Endoplasmin， DNA topoisomerase 2-alpha and Calmodulin 1. The feedback regulation in these and other targets is likely to be relevant for the success or failure of the molecular intervention.
A dynamic transcriptomic atlas of cytokine-induced killer cells.,J Biol Chem, 2018 Dec 21,30333226,https://pubmed.ncbi.nlm.nih.gov/30333226/,
The COXEN principle: translating signatures of in vitro chemosensitivity into tools for clinical outcome prediction and drug discovery in cancer.,Cancer Res, 2010 Mar 1,20160033,https://pubmed.ncbi.nlm.nih.gov/20160033/,Substantial effort has been devoted to in vitro testing of candidate chemotherapeutic agents. In particular， the United States National Cancer Institute Developmental Therapeutics Program (NCI-DTP) Human Tumor Cell Line Screen has screened hundreds of thousands of compounds and extracts， for which data on more than 40，000 compounds tested on a panel of 60 cancer cell lines (NCI-60) are publically available. In tandem， gene expression profiling has brought about a sea change in our understanding of cancer biology， allowing discovery of biomarkers or signatures able to characterize， classify， and prognosticate clinical behavior of human tumors. Recent studies have used tumor profiling matched to clinical trial outcome data to derive gene expression models predicting therapeutic outcomes， though such efforts are costly， time-consuming， tumor type-specific， and not amenable to rare diseases. Furthermore， addition of new or established drugs to multidrug combinations in which such models are already available requires the entire model to be re-derived. Can the aforementioned in vitro testing platform， coupled to the universal language of genomics， be used to develop， a priori， gene expression models predictive of clinical outcomes? Recent advances， including the CO-eXpression ExtrapolatioN (COXEN) algorithm， suggest that development of these models may be possible and raise important implications for future trial design and drug discovery.
Analysis of Transcriptome， Selected Intracellular Signaling Pathways， Proliferation and Apoptosis of LNCaP Cells Exposed to High Leptin Concentrations.,Int J Mol Sci, 2019 Oct 30,31671654,https://pubmed.ncbi.nlm.nih.gov/31671654/,Leptin， the first discovered adipokine， has been connected to various physiological and pathophysiological processes， including cancerogenesis. Increasing evidence confirms its influence on prostate cancer cells. However， studies on the effects of leptin on the proliferation and apoptosis of the androgen-sensitive LNCaP line of prostate cancer cells brought conflicting results. Therefore， we performed studies on the effects of high LEP concentration (1 × 10-6M) on gene expression profile， change of selected signaling pathways， proliferation and apoptosis of LNCaP cells. RTCA (real-time cell analyzer) revealed inhibitory effect of LEP on cell proliferation， but lower LEP concentrations (10-8and 10-10M) did not affect cell division. Moreover， flow cytometry with a specific antibody for Cleaved PARP-1， an apoptosis marker， confirmed the activation of apoptosis in leptin-exposed LNCaP line of prostate cancer cells. Within 24 h LEP (10-6M) increases expression of 297 genes and decreases expression of 119 genes. Differentially expressed genes (DEGs) were subjected to functional annotation and clusterization using the DAVID bioinformatics tools. Most ontological groups are associated with proliferation and apoptosis (seven groups)， immune response (six) and extracellular matrix (two). These results were confirmed by the Gene Set Enrichment Analysis (GSEA). The leptin's effect on apoptosis stimulation was also confirmed using Pathview library. These results were also confirmed by qPCR method. The results of Western Blot analysis (exposure to LEP 10 min， 1， 2， 4 and 24 h) suggest (after 24 h) decrease of p38 MAPK， p44-42 mitogen-activated protein kinase and Bcl-2 phosphorylated at threonine 56. Moreover， exposure of LNCaP cells to LEP significantly stimulates the secretion of matrix metallopeptidase 7 (MMP7). Obtained results suggest activation of apoptotic processes in LNCaP cells cultured at high LEP concentration. At the same time， this activation is accompanied by inhibition of proliferation of the tested cells.Keywords:LNCaP; apoptosis; intracellular signaling pathways; leptin; proliferation; prostate cancer cells; transcriptome analysis.
Differential transcription profiling of the phage LUZ19 infection process in different growth media.,RNA Biol, 2021 Nov,33448239,https://pubmed.ncbi.nlm.nih.gov/33448239/,RNA sequencing of phage-infected bacterial cultures offers a snapshot of transcriptional events occurring during the infection process， providing insights into the phage transcriptional organization as well as the bacterial response. To better mimic real environmental contexts， we performed RNA-seq ofPseudomonas aeruginosaPAO1 cultures infected with phage LUZ19 in a mammalian cell culture medium to better simulate a phage therapy event and the data were compared to lysogeny broth medium. Regardless of the media， phage LUZ19 induces significant transcriptional changes in the bacterial host over time， particularly during early infection (t= 5 min) and gradually shuts down bacterial transcription. In a common response in both media， 56P. aeruginosaPAO1 genes are differentially transcribed and clustered into several functional categories such as metabolism， translation and transcription. Our data allowed us to tease apart a medium-specific response during infection from the identified infection-associated responses. This reinforces the concept that phages overtake bacterial transcriptome in a strict manner to gain control of the bacterial machinery and reallocate resources for infection， in this case overcoming the nutritional limitations of the mammalian cell culture medium. From a phage therapy perspective， this study contributes towards a better understanding of phage-host interaction in human physiological conditions and demonstrates the versatility of phage LUZ19 to adapt to different environments.Keywords:Bacteriophage; P. aeruginosa; RNA-seq; gene expression; transcriptome.
Transcriptome profiling of bovine endometrial epithelial cells induced by lipopolysaccharides in vitro.,Anim Biotechnol, 2023 Dec,36756956,https://pubmed.ncbi.nlm.nih.gov/36756956/,Endometritis is an inflammation of the surface of the endometrium that does not penetrate the submucosa and can cause infertility and increase the elimination rate in cows. Endometrial epithelial cells are the first barrier of the endometrium against foreign stimuli and bacterial infection. Understanding the genetic changes in stimulated endometrial epithelial cells will help in the efforts to prevent and treat endometritis. This study investigated changes in bovine endometrial epithelial (BEEC) gene expression induced by lipopolysaccharide (LPS)-induced inflammation and compared transcriptome-wide gene changes between LPS- and phosphate-buffered saline (PBS)- treated BEECs by RNA sequencing. Compared with the PBS group， the LPS group showed 60 differentially expressed genes (DEGs) (36 upregulated， 24 downregulated). Gene Ontology enrichment analysis revealed that most enrichment occurred during CXCR chemokine receptor binding， inflammatory response， and neutrophil migration. Kyoto Encyclopedia of Genes and Genomes pathway analysis showed DEGs mainly concentrated in cytokine-cytokine receptor interactions; IL-17， tumor necrosis factor， NOD-like receptor， chemokine， Toll-like receptor， and nuclear factor-κB signaling pathways; and the cytoplasmic DNA sensing pathway. Moreover， results revealed that cytokinesSAA3andHPincreased significantly after LPS treatment. These effects of LPS on BEECs transcriptome and the molecular mechanism of endometritis provide a basis for improved clinical treatment and novel drug development.Keywords:Endometritis; high-throughput sequencing; lipopolysaccharide; mRNAs.
Transcriptional atlas of the human immune response to 13 vaccines reveals a common predictor of vaccine-induced antibody responses.,Nat Immunol, 2022 Dec,36316475,https://pubmed.ncbi.nlm.nih.gov/36316475/,
Comparative and temporal transcriptome analysis of peste des petits ruminants virus infected goat peripheral blood mononuclear cells.,Virus Res, 2017 Feb 2,28017736,https://pubmed.ncbi.nlm.nih.gov/28017736/,Peste des petits ruminanats virus (PPRV)， a morbillivirus causes an acute， highly contagious disease - peste des petits ruminants (PPR)， affecting goats and sheep. Sungri/96 vaccine strain is widely used for mass vaccination programs in India against PPR and is considered the most potent vaccine providing long-term immunity. However， occurrence of outbreaks due to emerging PPR viruses may be a challenge. In this study， the temporal dynamics of immune response in goat peripheral blood mononuclear cells (PBMCs) infected with Sungri/96 vaccine virus was investigated by transcriptome analysis. Infected goat PBMCs at 48h and 120h post infection revealed 2540 and 2000 differentially expressed genes (DEGs)， respectively， on comparison with respective controls. Comparison of the infected samples revealed 1416 DEGs to be altered across time points. Functional analysis of DEGs reflected enrichment of TLR signaling pathways， innate immune response， inflammatory response， positive regulation of signal transduction and cytokine production. The upregulation of innate immune genes during early phase (between 2-5 days) viz. interferon regulatory factors (IRFs)， tripartite motifs (TRIM) and several interferon stimulated genes (ISGs) in infected PBMCs and interactome analysis indicated induction of broad-spectrum anti-viral state. Several Transcription factors - IRF3， FOXO3 and SP1 that govern immune regulatory pathways were identified to co-regulate the DEGs. The results from this study， highlighted the involvement of both innate and adaptive immune systems with the enrichment of complement cascade observed at 120h p.i.， suggestive of a link between innate and adaptive immune response. Based on the transcriptome analysis and qRT-PCR validation， an in vitro mechanism for the induction of ISGs by IRFs in an interferon independent manner to trigger a robust immune response was predicted in PPRV infection.Keywords:PBMCs; PPRV; Protein-protein interaction networks; RNA-sequencing; Transcription factors; Transcriptome.
